"Measurement","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Puerto Rico"
"CollegeRate","0.25","0.3","0.29","0.23","0.34","0.41","0.39","0.32","0.59","0.3","0.31","0.33","0.28","0.35","0.26","0.29","0.33","0.24","0.24","0.32","0.4","0.44","0.29","0.36","0.22","0.29","0.32","0.32","0.25","0.37","0.4","0.27","0.37","0.31","0.3","0.28","0.26","0.34","0.31","0.34","0.28","0.29","0.27","0.3","0.34","0.38","0.39","0.36","0.21","0.3","0.27","0.26"
"MedianIncome","51771","77203","62027","49020","80423","77104","78920","70348","90395","59198","61950","83734","60830","69212","57617","61807","62028","52256","51108","58824","86644","85700","59522","74529","45928","57375","57248","63290","63268","78571","85786","52021","72038","57388","67402","58704","54447","66955","63455","70383","56360","60414","56047","64044","75705","63293","76471","78674","48659","64177","66152",NA
